parentKey;childKey;relationType;metaX
APPLICATION:BUSINESS_OBJECT;MACRO_BUSINESS_PROCESS:M1;serves;
APPLICATION:CALL_TO_CAISSE;MACRO_BUSINESS_PROCESS:K1;serves;
APPLICATION:CAP_ADRESSE;MACRO_BUSINESS_PROCESS:A2;serves;
APPLICATION:CENTRIC;MACRO_BUSINESS_PROCESS:B2;serves;
APPLICATION:CENTRIC;MACRO_BUSINESS_PROCESS:B3;serves;
APPLICATION:CENTRIC;MACRO_BUSINESS_PROCESS:C3;serves;
APPLICATION:CENTRIC;MACRO_BUSINESS_PROCESS:H1;serves;
APPLICATION:CONEX;MACRO_BUSINESS_PROCESS:F2;serves;
APPLICATION:CONNECT_PIMKIE_COM;MACRO_BUSINESS_PROCESS:K5;serves;
APPLICATION:CONNEXIS_TRADE;MACRO_BUSINESS_PROCESS:F4;serves;
APPLICATION:CORNERSTONE;MACRO_BUSINESS_PROCESS:J1;serves;
APPLICATION_DATAHUB;MACRO_BUSINESS_PROCESS:K1;serves;
APPLICATION:DELTAPASS;MACRO_BUSINESS_PROCESS:F4;serves;
APPLICATION:EBURN;MACRO_BUSINESS_PROCESS:A2;serves;
APPLICATION:ECLIENT;MACRO_BUSINESS_PROCESS:A2;serves;
APPLICATION:ECOLIS;MACRO_BUSINESS_PROCESS:A2;serves;
APPLICATION:ECONTRAT;MACRO_BUSINESS_PROCESS:J1;serves;
APPLICATION:EFACTURE;MACRO_BUSINESS_PROCESS:G2;serves;
APPLICATION:EINVENTAIRE;MACRO_BUSINESS_PROCESS:F5;serves;
APPLICATION:EJOBS;MACRO_BUSINESS_PROCESS:J2;serves;
APPLICATION:EKIOSK;MACRO_BUSINESS_PROCESS:J2;serves;
APPLICATION:ELABELING;MACRO_BUSINESS_PROCESS:F4;serves;
APPLICATION:EPARAMETER;MACRO_BUSINESS_PROCESS:G2;serves;
APPLICATION:EPORTAL;MACRO_BUSINESS_PROCESS:G2;serves;
APPLICATION:EPUBLISH;MACRO_BUSINESS_PROCESS:J2;serves;
APPLICATION:ESHOP;MACRO_BUSINESS_PROCESS:G2;serves;
APPLICATION:ESTAFF;MACRO_BUSINESS_PROCESS:F5;serves;
APPLICATION:ESTAGE;MACRO_BUSINESS_PROCESS:J2;serves;
APPLICATION:ESTOCK;MACRO_BUSINESS_PROCESS:F5;serves;
APPLICATION:ETAFI;MACRO_BUSINESS_PROCESS:L4;serves;
APPLICATION:ETICA;MACRO_BUSINESS_PROCESS:L4;serves;
APPLICATION:EVIEWER;MACRO_BUSINESS_PROCESS:G2;serves;
APPLICATION:EXPENSYA;MACRO_BUSINESS_PROCESS:L1;serves;
APPLICATION:FACTURES_WEB_SEI;MACRO_BUSINESS_PROCESS:G2;serves;
APPLICATION:FART_20;MACRO_BUSINESS_PROCESS:L6;serves;
APPLICATION:FICHE_APPRO;MACRO_BUSINESS_PROCESS:F2;serves;
APPLICATION:FRONTSCREEN;MACRO_BUSINESS_PROCESS:G2;serves;
APPLICATION:FTP_PARTENAIRES;MACRO_BUSINESS_PROCESS:G2;serves;
APPLICATION:GERBER;MACRO_BUSINESS_PROCESS:C4;serves;
APPLICATION:GESTIKO;MACRO_BUSINESS_PROCESS:J3;serves;
APPLICATION:HAUFE;MACRO_BUSINESS_PROCESS:J3;serves;
APPLICATION:IN_STORE;MACRO_BUSINESS_PROCESS:E3;serves;
APPLICATION:INFOBURST;MACRO_BUSINESS_PROCESS:L6;serves;
APPLICATION:INTRANET_CENTRALE;MACRO_BUSINESS_PROCESS:J4;serves;
APPLICATION:INTRANET_PARTENAIRES;MACRO_BUSINESS_PROCESS:G2;serves;
APPLICATION:INTRANET_PAYS_EPI;MACRO_BUSINESS_PROCESS:G2;serves;
APPLICATION:INVENTAIRES_STOCK_MAGASIN;MACRO_BUSINESS_PROCESS:F5;serves;
APPLICATION:ISTYAPORTAL;MACRO_BUSINESS_PROCESS:L6;serves;
APPLICATION:ITOP;MACRO_BUSINESS_PROCESS:K6;serves;
APPLICATION:KABA;MACRO_BUSINESS_PROCESS:J3;serves;
APPLICATION:KOFAX;MACRO_BUSINESS_PROCESS:M6;serves;
APPLICATION:KYRIBA;MACRO_BUSINESS_PROCESS:L5;serves;
APPLICATION:LEGALSUITE;MACRO_BUSINESS_PROCESS:M3;serves;
APPLICATION:LEGALSUITE;MACRO_BUSINESS_PROCESS:N3;serves;
APPLICATION:LENGOW;MACRO_BUSINESS_PROCESS:G2;serves;
APPLICATION:MAAT;MACRO_BUSINESS_PROCESS:B2;serves;
APPLICATION:MAAT;MACRO_BUSINESS_PROCESS:F1;serves;
APPLICATION:MBB_GELM;MACRO_BUSINESS_PROCESS:J3;serves;
APPLICATION:MCOLIS;MACRO_BUSINESS_PROCESS:F5;serves;
APPLICATION:METEO_OPENWEATHERMAP;MACRO_BUSINESS_PROCESS:L6;serves;
APPLICATION:METNEXT;MACRO_BUSINESS_PROCESS:L6;serves;
APPLICATION:MOOD_MEDIA;MACRO_BUSINESS_PROCESS:A2;serves;
APPLICATION:NEXTAIL;MACRO_BUSINESS_PROCESS:B2;serves;
APPLICATION:NEXTAIL;MACRO_BUSINESS_PROCESS:F1;serves;
APPLICATION:NODHOS;MACRO_BUSINESS_PROCESS:B1;serves;
APPLICATION:NODHOS;MACRO_BUSINESS_PROCESS:B2;serves;
APPLICATION:NODHOS;MACRO_BUSINESS_PROCESS:B4;serves;
APPLICATION:NODHOS;MACRO_BUSINESS_PROCESS:B5;serves;
APPLICATION:NODHOS;MACRO_BUSINESS_PROCESS:C3;serves;
APPLICATION:NODHOS;MACRO_BUSINESS_PROCESS:C5;serves;
APPLICATION:NODHOS;MACRO_BUSINESS_PROCESS:C6;serves;
APPLICATION:NODHOS;MACRO_BUSINESS_PROCESS:E3;serves;
APPLICATION:NODHOS;MACRO_BUSINESS_PROCESS:F1;serves;
APPLICATION:NODHOS;MACRO_BUSINESS_PROCESS:F2;serves;
APPLICATION:NODHOS;MACRO_BUSINESS_PROCESS:H3;serves;
APPLICATION:NODHOS;MACRO_BUSINESS_PROCESS:L1;serves;
APPLICATION:NODHOS;MACRO_BUSINESS_PROCESS:M4;serves;
APPLICATION:NODHOS;MACRO_BUSINESS_PROCESS:M5;serves;
APPLICATION:NODHOS_RF;MACRO_BUSINESS_PROCESS:B3;serves;
APPLICATION:NODHOS_SUNOPSIS;MACRO_BUSINESS_PROCESS:B3;serves;
APPLICATION:NOUVEL_INTRANET_MAGASIN;MACRO_BUSINESS_PROCESS:J1;serves;
APPLICATION:NSID;MACRO_BUSINESS_PROCESS:L6;serves;
APPLICATION:ODI;MACRO_BUSINESS_PROCESS:K1;serves;
APPLICATION:ONESTOCK;MACRO_BUSINESS_PROCESS:F3;serves;
APPLICATION:ONESTOCK;MACRO_BUSINESS_PROCESS:F5;serves;
APPLICATION:OPTICALL;MACRO_BUSINESS_PROCESS:G2;serves;
APPLICATION:PILOTAGE_ACHATS;MACRO_BUSINESS_PROCESS:L6;serves;
APPLICATION:PIM;MACRO_BUSINESS_PROCESS:D1;serves;
APPLICATION:PIWIK;MACRO_BUSINESS_PROCESS:L6;serves;
APPLICATION:PRICECHECK;MACRO_BUSINESS_PROCESS:K1;serves;
APPLICATION:RAYONNANCE;MACRO_BUSINESS_PROCESS:K3;serves;
APPLICATION:REQUETES_AUTOMAIL;MACRO_BUSINESS_PROCESS:K2;serves;
APPLICATION:RETAILDRIVE;MACRO_BUSINESS_PROCESS:D3;serves;
APPLICATION:RETAILDRIVE;MACRO_BUSINESS_PROCESS:I2;serves;
APPLICATION:SAGE;MACRO_BUSINESS_PROCESS:L2;serves;
APPLICATION:SAGE;MACRO_BUSINESS_PROCESS:L5;serves;
APPLICATION:SAGE;MACRO_BUSINESS_PROCESS:M6;serves;
APPLICATION:SAP;MACRO_BUSINESS_PROCESS:F2;serves;
APPLICATION:SAP;MACRO_BUSINESS_PROCESS:J1;serves;
APPLICATION:SAP;MACRO_BUSINESS_PROCESS:J3;serves;
APPLICATION:SAP;MACRO_BUSINESS_PROCESS:L1;serves;
APPLICATION:SAP;MACRO_BUSINESS_PROCESS:L2;serves;
APPLICATION:SAP;MACRO_BUSINESS_PROCESS:L5;serves;
APPLICATION:SAP;MACRO_BUSINESS_PROCESS:M1;serves;
APPLICATION:SAP;MACRO_BUSINESS_PROCESS:M4;serves;
APPLICATION:SAP;MACRO_BUSINESS_PROCESS:M6;serves;
APPLICATION:SAP_BUSINESS_PLANNING_ CONSOLIDATIONS;MACRO_BUSINESS_PROCESS:N4;serves;
APPLICATION:SAP-HR;MACRO_BUSINESS_PROCESS:J3;serves;
APPLICATION:SINFODEL;MACRO_BUSINESS_PROCESS:C4;serves;
APPLICATION:SMARTPOS;MACRO_BUSINESS_PROCESS:G2;serves;
APPLICATION:SOCLOZ;MACRO_BUSINESS_PROCESS:G2;serves;
APPLICATION:SOTI;MACRO_BUSINESS_PROCESS:K3;serves;
APPLICATION:STAMBIA;MACRO_BUSINESS_PROCESS:K1;serves;
APPLICATION:STORETOWEB;MACRO_BUSINESS_PROCESS:G2;serves;
APPLICATION:SUPPLYCHAIN RELATION MANAGEMENT;MACRO_BUSINESS_PROCESS:F6;serves;
APPLICATION:SURVEY_MONKEY;MACRO_BUSINESS_PROCESS:A1;serves;
APPLICATION:TECHTALK;MACRO_BUSINESS_PROCESS:J2;serves;
APPLICATION:TMS;MACRO_BUSINESS_PROCESS:F6;serves;
APPLICATION:TRANSCO_REFERENTIEL;MACRO_BUSINESS_PROCESS:K5;serves;
APPLICATION:UNITED_RETAIL;MACRO_BUSINESS_PROCESS:A2;serves;
APPLICATION:UNITED_RETAIL;MACRO_BUSINESS_PROCESS:E3;serves;
APPLICATION:UNITED_RETAIL;MACRO_BUSINESS_PROCESS:G2;serves;
APPLICATION:VTOM;MACRO_BUSINESS_PROCESS:K1;serves;
APPLICATION:WINSTORE_EPOS;MACRO_BUSINESS_PROCESS:G1;serves;
APPLICATION:WINSTORE_EPOS;MACRO_BUSINESS_PROCESS:G2;serves;
APPLICATION:WINSTORE_EPOS;MACRO_BUSINESS_PROCESS:G3;serves;
APPLICATION:WINTIME_STUDIO;MACRO_BUSINESS_PROCESS:J3;serves;
APPLICATION:YOURCEGID;MACRO_BUSINESS_PROCESS:L4;serves;
APPLICATION:CENTRIC;LOGICALFLOW:CENTRIC_APPCO_Référentiel de produits;is source of;
APPLICATION:APPCO;LOGICALFLOW:APPCO_NODHOS_Offre Produit;is source of;
APPLICATION_DATAHUB;LOGICALFLOW:DATAHUB_NODHOS_Modèles;is source of;
APPLICATION_DATAHUB;LOGICALFLOW:DATAHUB_NODHOS_Nuances;is source of;
APPLICATION_DATAHUB;LOGICALFLOW:DATAHUB_NODHOS_Pondérations Zones;is source of;
APPLICATION_DATAHUB;LOGICALFLOW:DATAHUB_NODHOS_RC Maat;is source of;
APPLICATION_DATAHUB;LOGICALFLOW:DATAHUB_NODHOS_Facing;is source of;
APPLICATION:MAAT;LOGICALFLOW:MAAT_NODHOS_Grilles de tailles;is source of;
LOGICALFLOW:CENTRIC_APPCO_Référentiel de produits;APPLICATION:APPCO;has for target;
LOGICALFLOW:APPCO_NODHOS_Offre Produit;APPLICATION:NODHOS;has for target;
LOGICALFLOW:DATAHUB_NODHOS_Modèles;APPLICATION:NODHOS;has for target;
LOGICALFLOW:DATAHUB_NODHOS_Nuances;APPLICATION:NODHOS;has for target;
LOGICALFLOW:DATAHUB_NODHOS_Pondérations Zones;APPLICATION:NODHOS;has for target;
LOGICALFLOW:DATAHUB_NODHOS_RC Maat;APPLICATION:NODHOS;has for target;
LOGICALFLOW:DATAHUB_NODHOS_Facing;APPLICATION:NODHOS;has for target;
LOGICALFLOW:MAAT_NODHOS_Grilles de tailles;APPLICATION:NODHOS;has for target;
LOGICALFLOW:CENTRIC_APPCO_Référentiel de produits;BUSINESSOBJECT:PROD;uses;
LOGICALFLOW:APPCO_NODHOS_Offre Produit;BUSINESSOBJECT:OFFR;uses;
LOGICALFLOW:CENTRIC_APPCO_Référentiel de produits;TECHNICALFLOW:PMK_Referentiel_PLM_Appco;composed of;
LOGICALFLOW:DATAHUB_NODHOS_Modèles;TECHNICALFLOW:PMK_Model_DHB_APC;composed of;
LOGICALFLOW:DATAHUB_NODHOS_Nuances;TECHNICALFLOW:PMK_Nuance_DHB_APC;composed of;
LOGICALFLOW:DATAHUB_NODHOS_Pondérations Zones;TECHNICALFLOW:PMK_MAJ_ASS_NDS_PCK_FACING_INTEGRER;composed of;
LOGICALFLOW:DATAHUB_NODHOS_RC Maat;TECHNICALFLOW:PMK_Ponderation_Zones_DHB_APC;composed of;
LOGICALFLOW:DATAHUB_NODHOS_Facing;TECHNICALFLOW:PMK_RC_Maat_DHB_APC;composed of;
LOGICALFLOW:MAAT_NODHOS_Grilles de tailles;TECHNICALFLOW:API_MAAT_Grilles;composed of;
MACRO_BUSINESS_PROCESS:F2;BUSINESS_PROCESS:APPROVISIONNEMENT_VENTE_PARTENAIRES;contains;
BUSINESS_PROCESS:APPROVISIONNEMENT_VENTE_PARTENAIRES;ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_SAISIE_RESERVATIONS;starts with;
BUSINESS_PROCESS:APPROVISIONNEMENT_VENTE_PARTENAIRES;ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_REMONTEE_STOCK;starts with;
BUSINESS_PROCESS:APPROVISIONNEMENT_VENTE_PARTENAIRES;ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_CALCUL_QUANTITES;contains;
BUSINESS_PROCESS:APPROVISIONNEMENT_VENTE_PARTENAIRES;ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_VALIDATION_QUANTITES;contains;
BUSINESS_PROCESS:APPROVISIONNEMENT_VENTE_PARTENAIRES;ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_ENVOI_DIFFERE;contains;
BUSINESS_PROCESS:APPROVISIONNEMENT_VENTE_PARTENAIRES;ACTIVITY:APPROVISIONNEMENT_VENTE_PARTENAIRES_ENVOI_IMMEDIAT;contains;
